데이터 출처,AIO_Benchmark 하위출처,검색어,지식인_doc_id,지식인_url,검색엔진,AI 검색 요약 활성화 여부,문법적 형태,검색 의도,주제,LLM 확신도
ORCAS,,100개의 형용사,,,google,FALSE,명사구,거래형,직업 교육,medium
ORCAS,,100개의 형용사,,,naver,TRUE,명사구,거래형,직업 교육,medium
ORCAS,,100달러는 몇 파운드인가,,,google,TRUE,의문문,거래형,비즈니스 금융,high
ORCAS,,100달러는 몇 파운드인가,,,naver,TRUE,의문문,거래형,비즈니스 금융,high
ORCAS,,10대의 수면 위생,,,google,TRUE,조사 결합 명사구,정보형,건강,high
ORCAS,,10대의 수면 위생,,,naver,FALSE,조사 결합 명사구,정보형,건강,high
ORCAS,,10의 로마 숫자,,,google,TRUE,조사 결합 명사구,정보형,직업 교육,high
ORCAS,,10의 로마 숫자,,,naver,TRUE,조사 결합 명사구,정보형,직업 교육,high
ORCAS,,10진법이란 무엇인가,,,google,TRUE,의문문,정보형,과학,high
ORCAS,,10진법이란 무엇인가,,,naver,TRUE,의문문,정보형,과학,high
ORCAS,,11월 19일,,,google,TRUE,명사구,분류 불가,기타,low
ORCAS,,11월 19일,,,naver,FALSE,명사구,분류 불가,기타,low
ORCAS,,12:00 AM,,,google,TRUE,명사구,정보형,기타,medium
ORCAS,,12:00 AM,,,naver,TRUE,명사구,정보형,기타,medium
ORCAS,,12파운드 칠면조 요리 시간,,,google,TRUE,명사구,정보형,음식,high
ORCAS,,12파운드 칠면조 요리 시간,,,naver,TRUE,명사구,정보형,음식,high
ORCAS,,13개의 미국 식민지,,,google,TRUE,명사구,정보형,기타,medium
ORCAS,,13개의 미국 식민지,,,naver,FALSE,명사구,정보형,기타,medium
ORCAS,,16s 유전자,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,16s 유전자,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,16인치 휠체어,,,google,TRUE,명사구,상업형,건강,medium
ORCAS,,16인치 휠체어,,,naver,FALSE,명사구,상업형,건강,medium
ORCAS,,1789년 7월 14일,,,google,TRUE,명사구,정보형,정치,medium
ORCAS,,1789년 7월 14일,,,naver,FALSE,명사구,정보형,정치,medium
ORCAS,,1968 머스탱 GT,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,1968 머스탱 GT,,,naver,TRUE,명사구,상업형,자동차,high
ORCAS,,1973년,,,google,TRUE,명사구,정보형,기타,medium
ORCAS,,1973년,,,naver,FALSE,명사구,정보형,기타,medium
ORCAS,,1hp는 몇 와트,,,google,FALSE,명사구,정보형,과학,high
ORCAS,,1hp는 몇 와트,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,1몰에 몇 그램인가,,,google,TRUE,의문문,정보형,과학,high
ORCAS,,1몰에 몇 그램인가,,,naver,TRUE,의문문,정보형,과학,high
ORCAS,,1온스에 몇 그램,,,google,FALSE,명사구,거래형,과학,high
ORCAS,,1온스에 몇 그램,,,naver,TRUE,명사구,거래형,과학,high
ORCAS,,2 in 1 컴퓨터,,,google,TRUE,명사구,상업형,기술,high
ORCAS,,2 in 1 컴퓨터,,,naver,FALSE,명사구,상업형,기술,high
ORCAS,,2000 피트는 몇 마일인가,,,google,FALSE,의문문,거래형,과학,high
ORCAS,,2000 피트는 몇 마일인가,,,naver,FALSE,의문문,거래형,과학,high
ORCAS,,2004 스리랑카 쓰나미,,,google,FALSE,명사구,정보형,기후 날씨,high
ORCAS,,2004 스리랑카 쓰나미,,,naver,TRUE,명사구,정보형,기후 날씨,high
ORCAS,,2015 맥북 에어,,,google,FALSE,명사구,상업형,기술,high
ORCAS,,2015 맥북 에어,,,naver,FALSE,명사구,상업형,기술,high
ORCAS,,2015 지프 그랜드 체로키 리미티드,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,2015 지프 그랜드 체로키 리미티드,,,naver,TRUE,명사구,상업형,자동차,high
ORCAS,,2016 랜드로버,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,2016 랜드로버,,,naver,FALSE,명사구,상업형,자동차,high
ORCAS,,2017 스트리트 밥,,,google,TRUE,명사구,정보형,음식,low
ORCAS,,2017 스트리트 밥,,,naver,FALSE,명사구,정보형,음식,low
ORCAS,,2017 혼다 어코드 세단,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,2017 혼다 어코드 세단,,,naver,TRUE,명사구,상업형,자동차,high
ORCAS,,2017년 01월 20일,,,google,TRUE,명사구,분류 불가,기타,low
ORCAS,,2017년 01월 20일,,,naver,FALSE,명사구,분류 불가,기타,low
ORCAS,,2018 FIFA 월드컵 챔피언,,,google,TRUE,명사구,정보형,스포츠,high
ORCAS,,2018 FIFA 월드컵 챔피언,,,naver,FALSE,명사구,정보형,스포츠,high
ORCAS,,2018 슈퍼볼 시청자 수는 몇 명인가,,,google,TRUE,의문문,정보형,스포츠,high
ORCAS,,2018 슈퍼볼 시청자 수는 몇 명인가,,,naver,FALSE,의문문,정보형,스포츠,high
ORCAS,,2018 최악의 NBA 팀,,,google,TRUE,명사구,정보형,스포츠,high
ORCAS,,2018 최악의 NBA 팀,,,naver,FALSE,명사구,정보형,스포츠,high
ORCAS,,2018년 세계 인구,,,google,TRUE,명사구,정보형,기타,high
ORCAS,,2018년 세계 인구,,,naver,FALSE,명사구,정보형,기타,high
ORCAS,,2018년 지구 인구,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,2018년 지구 인구,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,2018년에 발생한 허리케인,,,google,FALSE,관형절 포함 명사구,정보형,기후 날씨,high
ORCAS,,2018년에 발생한 허리케인,,,naver,TRUE,관형절 포함 명사구,정보형,기후 날씨,high
ORCAS,,2019 옥토버페스트 날짜,,,google,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,2019 옥토버페스트 날짜,,,naver,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,2019 혼다 CR-V 투어링,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,2019 혼다 CR-V 투어링,,,naver,TRUE,명사구,상업형,자동차,high
ORCAS,,2019년 신형 마세라티 모델,,,google,TRUE,명사구,상업형,자동차,high
ORCAS,,2019년 신형 마세라티 모델,,,naver,TRUE,명사구,상업형,자동차,high
ORCAS,,2019년 중국 설은 언제인가,,,google,TRUE,의문문,정보형,기타,high
ORCAS,,2019년 중국 설은 언제인가,,,naver,TRUE,의문문,정보형,기타,high
ORCAS,,2019년 코스트코 결제 수단,,,google,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,2019년 코스트코 결제 수단,,,naver,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,2019년에 집 사기 좋은 시점은 언제인가,,,google,TRUE,의문문,상업형,비즈니스 금융,high
ORCAS,,2019년에 집 사기 좋은 시점은 언제인가,,,naver,FALSE,의문문,상업형,비즈니스 금융,high
ORCAS,,2019년의 중요한 사건들,,,google,TRUE,명사구,정보형,기타,high
ORCAS,,2019년의 중요한 사건들,,,naver,TRUE,명사구,정보형,기타,high
ORCAS,,2021년 중국 설 날짜,,,google,TRUE,명사구,정보형,기타,medium
ORCAS,,2021년 중국 설 날짜,,,naver,TRUE,명사구,정보형,기타,medium
ORCAS,,20주년 기념 색상,,,google,TRUE,명사구,정보형,기타,low
ORCAS,,20주년 기념 색상,,,naver,TRUE,명사구,정보형,기타,low
ORCAS,,22q11.2 결실 증후군,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,22q11.2 결실 증후군,,,naver,FALSE,명사구,정보형,건강,high
ORCAS,,2:1 스케일,,,google,TRUE,명사구,정보형,과학,medium
ORCAS,,2:1 스케일,,,naver,TRUE,명사구,정보형,과학,medium
ORCAS,,2D 도형의 대칭선,,,google,TRUE,조사 결합 명사구,정보형,과학,high
ORCAS,,2D 도형의 대칭선,,,naver,TRUE,조사 결합 명사구,정보형,과학,high
ORCAS,,2기 전립선암 생존율,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,2기 전립선암 생존율,,,naver,TRUE,명사구,정보형,건강,high
ORCAS,,2단계 수면,,,google,FALSE,명사구,정보형,건강,high
ORCAS,,2단계 수면,,,naver,FALSE,명사구,정보형,건강,high
ORCAS,,2리터는 몇 온스인가,,,google,TRUE,의문문,거래형,과학,medium
ORCAS,,2리터는 몇 온스인가,,,naver,FALSE,의문문,거래형,과학,medium
ORCAS,,2마일 걷는 데 얼마나 걸리나,,,google,TRUE,의문문,정보형,건강,medium
ORCAS,,2마일 걷는 데 얼마나 걸리나,,,naver,FALSE,의문문,정보형,건강,medium
ORCAS,,2차 방정식 풀기,,,google,TRUE,명사형 전성어미,정보형,직업 교육,high
ORCAS,,2차 방정식 풀기,,,naver,TRUE,명사형 전성어미,정보형,직업 교육,high
ORCAS,,2행정 엔진,,,google,TRUE,명사구,정보형,자동차,medium
ORCAS,,2행정 엔진,,,naver,TRUE,명사구,정보형,자동차,medium
ORCAS,,3 제곱미터,,,google,TRUE,명사구,거래형,과학,low
ORCAS,,3 제곱미터,,,naver,FALSE,명사구,거래형,과학,low
ORCAS,,3 쿼트는 몇 컵인가,,,google,FALSE,의문문,거래형,과학,high
ORCAS,,3 쿼트는 몇 컵인가,,,naver,TRUE,의문문,거래형,과학,high
ORCAS,,3.0 디젤,,,google,TRUE,명사구,상업형,자동차,medium
ORCAS,,3.0 디젤,,,naver,TRUE,명사구,상업형,자동차,medium
ORCAS,,30일이 있는 달은 어떤 달인가,,,google,TRUE,의문문,정보형,과학,high
ORCAS,,30일이 있는 달은 어떤 달인가,,,naver,TRUE,의문문,정보형,과학,high
ORCAS,,32비트 버전의 크롬,,,google,TRUE,조사 결합 명사구,거래형,기술,high
ORCAS,,32비트 버전의 크롬,,,naver,FALSE,조사 결합 명사구,거래형,기술,high
ORCAS,,32비트와 64비트의 차이,,,google,TRUE,조사 결합 명사구,정보형,기술,high
ORCAS,,32비트와 64비트의 차이,,,naver,TRUE,조사 결합 명사구,정보형,기술,high
ORCAS,,36인치 지름 플라스틱 파이프,,,google,TRUE,명사구,상업형,쇼핑,high
ORCAS,,36인치 지름 플라스틱 파이프,,,naver,FALSE,명사구,상업형,쇼핑,high
ORCAS,,37주 임신 증상,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,37주 임신 증상,,,naver,TRUE,명사구,정보형,건강,high
ORCAS,,3D 초음파 비용,,,google,TRUE,명사구,상업형,건강,high
ORCAS,,3D 초음파 비용,,,naver,FALSE,명사구,상업형,건강,high
ORCAS,,3상 전류 계산기,,,google,TRUE,명사구,거래형,과학,medium
ORCAS,,3상 전류 계산기,,,naver,FALSE,명사구,거래형,과학,medium
ORCAS,,3형 문명,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,3형 문명,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,4-3-3 포메이션,,,google,TRUE,명사구,정보형,스포츠,high
ORCAS,,4-3-3 포메이션,,,naver,TRUE,명사구,정보형,스포츠,high
ORCAS,,4주 달리기 계획,,,google,TRUE,명사구,정보형,스포츠,medium
ORCAS,,4주 달리기 계획,,,naver,FALSE,명사구,정보형,스포츠,medium
ORCAS,,5 유로 동전,,,google,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,5 유로 동전,,,naver,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,50세 이상 여성의 방광암 증상,,,google,TRUE,조사 결합 명사구,정보형,건강,high
ORCAS,,50세 이상 여성의 방광암 증상,,,naver,FALSE,조사 결합 명사구,정보형,건강,high
ORCAS,,5k 걷는 데 얼마나 걸리나,,,google,TRUE,의문문,정보형,스포츠,high
ORCAS,,5k 걷는 데 얼마나 걸리나,,,naver,FALSE,의문문,정보형,스포츠,high
ORCAS,,5meodmt,,,google,TRUE,명사구,분류 불가,분류 불가,low
ORCAS,,5meodmt,,,naver,FALSE,명사구,분류 불가,분류 불가,low
ORCAS,,5초 안에 몇 번 클릭할 수 있나,,,google,TRUE,의문문,정보형,기술,medium
ORCAS,,5초 안에 몇 번 클릭할 수 있나,,,naver,TRUE,의문문,정보형,기술,medium
ORCAS,,5파운드 웨이트,,,google,TRUE,명사구,상업형,스포츠,high
ORCAS,,5파운드 웨이트,,,naver,TRUE,명사구,상업형,스포츠,high
ORCAS,,600단어는 몇 페이지인가,,,google,TRUE,의문문,정보형,직업 교육,medium
ORCAS,,600단어는 몇 페이지인가,,,naver,TRUE,의문문,정보형,직업 교육,medium
ORCAS,,60킬로그램을 스톤과 파운드로,,,google,TRUE,조사 결합 명사구,거래형,과학,high
ORCAS,,60킬로그램을 스톤과 파운드로,,,naver,TRUE,조사 결합 명사구,거래형,과학,high
ORCAS,,7 게이지 두께,,,google,TRUE,명사구,정보형,과학,medium
ORCAS,,7 게이지 두께,,,naver,TRUE,명사구,정보형,과학,medium
ORCAS,,7대 호카게,,,google,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,7대 호카게,,,naver,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,7일 비건 메뉴,,,google,TRUE,명사구,거래형,음식,medium
ORCAS,,7일 비건 메뉴,,,naver,FALSE,명사구,거래형,음식,medium
ORCAS,,7일 자몽 다이어트 계획,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,7일 자몽 다이어트 계획,,,naver,TRUE,명사구,정보형,건강,medium
ORCAS,,7일 전투,,,google,TRUE,명사구,정보형,기타,low
ORCAS,,7일 전투,,,naver,TRUE,명사구,정보형,기타,low
ORCAS,,9월 2일까지 며칠 남았나요,,,google,TRUE,의문문,거래형,기타,high
ORCAS,,9월 2일까지 며칠 남았나요,,,naver,FALSE,의문문,거래형,기타,high
ORCAS,,9월에 좋은 휴가지,,,google,TRUE,관형절 포함 명사구,정보형,여행 교통,high
ORCAS,,9월에 좋은 휴가지,,,naver,TRUE,관형절 포함 명사구,정보형,여행 교통,high
ORCAS,,A B C D 성격 유형 테스트,,,google,TRUE,명사구,거래형,기타,medium
ORCAS,,A B C D 성격 유형 테스트,,,naver,TRUE,명사구,거래형,기타,medium
ORCAS,,A+ 혈액형 흔한가요,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,A+ 혈액형 흔한가요,,,naver,TRUE,의문문,정보형,건강,high
ORCAS,,A-380,,,google,TRUE,명사구,상업형,여행 교통,medium
ORCAS,,A-380,,,naver,TRUE,명사구,상업형,여행 교통,medium
ORCAS,,A1C 6.9,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,A1C 6.9,,,naver,FALSE,명사구,정보형,건강,medium
ORCAS,,A1C 수치 줄이는 방법,,,google,TRUE,관형절 포함 명사구,정보형,건강,high
ORCAS,,A1C 수치 줄이는 방법,,,naver,FALSE,관형절 포함 명사구,정보형,건강,high
ORCAS,,AAA 배터리 몇 볼트인가,,,google,TRUE,의문문,정보형,기술,high
ORCAS,,AAA 배터리 몇 볼트인가,,,naver,TRUE,의문문,정보형,기술,high
ORCAS,,AC/DC 앵거스 영,,,google,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,AC/DC 앵거스 영,,,naver,FALSE,명사구,정보형,엔터테인먼트,high
ORCAS,,ADFS 버전,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,ADFS 버전,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,ADHD 아동,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,ADHD 아동,,,naver,TRUE,명사구,정보형,건강,medium
ORCAS,,AHA ACLS 과정,,,google,TRUE,명사구,상업형,직업 교육,medium
ORCAS,,AHA ACLS 과정,,,naver,TRUE,명사구,상업형,직업 교육,medium
ORCAS,,AIDS 관련 질병,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,AIDS 관련 질병,,,naver,FALSE,명사구,정보형,건강,high
ORCAS,,APA 스타일 참고 문헌 페이지,,,google,TRUE,명사구,정보형,직업 교육,high
ORCAS,,APA 스타일 참고 문헌 페이지,,,naver,TRUE,명사구,정보형,직업 교육,high
ORCAS,,APA 인용 여러 저자,,,google,TRUE,명사구,정보형,직업 교육,high
ORCAS,,APA 인용 여러 저자,,,naver,TRUE,명사구,정보형,직업 교육,high
ORCAS,,ASOS 배송,,,google,TRUE,명사구,상업형,뷰티 패션,high
ORCAS,,ASOS 배송,,,naver,TRUE,명사구,상업형,뷰티 패션,high
ORCAS,,ATM 기계 사용하는 법,,,google,TRUE,관형절 포함 명사구,정보형,비즈니스 금융,medium
ORCAS,,ATM 기계 사용하는 법,,,naver,TRUE,관형절 포함 명사구,정보형,비즈니스 금융,medium
ORCAS,,ATP테니스 실시간 랭킹,,,google,FALSE,명사구,거래형,스포츠,high
ORCAS,,ATP테니스 실시간 랭킹,,,naver,TRUE,명사구,거래형,스포츠,high
ORCAS,,AWS MQ,,,google,FALSE,명사구,이동형,기술,high
ORCAS,,AWS MQ,,,naver,FALSE,명사구,이동형,기술,high
ORCAS,,AWS WAF,,,google,FALSE,명사구,이동형,기술,high
ORCAS,,AWS WAF,,,naver,TRUE,명사구,이동형,기술,high
ORCAS,,B TV,,,google,TRUE,명사구,이동형,엔터테인먼트,medium
ORCAS,,B TV,,,naver,FALSE,명사구,이동형,엔터테인먼트,medium
ORCAS,,B 림프구란 무엇인가?,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,B 림프구란 무엇인가?,,,naver,FALSE,의문문,정보형,건강,high
ORCAS,,B.B.C 월드 뉴스,,,google,FALSE,명사구,이동형,엔터테인먼트,medium
ORCAS,,B.B.C 월드 뉴스,,,naver,FALSE,명사구,이동형,엔터테인먼트,medium
ORCAS,,B12 과다,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,B12 과다,,,naver,TRUE,명사구,정보형,건강,medium
ORCAS,,BIA-측정,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,BIA-측정,,,naver,TRUE,명사구,정보형,건강,high
ORCAS,,BMI 31,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,BMI 31,,,naver,TRUE,명사구,정보형,건강,medium
ORCAS,,BPDU 필터,,,google,FALSE,명사구,정보형,기술,medium
ORCAS,,BPDU 필터,,,naver,FALSE,명사구,정보형,기술,medium
ORCAS,,BTS 사랑,,,google,TRUE,명사구,정보형,엔터테인먼트,medium
ORCAS,,BTS 사랑,,,naver,TRUE,명사구,정보형,엔터테인먼트,medium
ORCAS,,BUN은 무엇의 약자입니까,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,BUN은 무엇의 약자입니까,,,naver,TRUE,의문문,정보형,건강,high
ORCAS,,B형 간염 항체 수치,,,google,TRUE,명사구,정보형,건강,high
ORCAS,,B형 간염 항체 수치,,,naver,TRUE,명사구,정보형,건강,high
ORCAS,,C# 예외,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,C# 예외,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,C#에서 오버로딩,,,google,FALSE,조사 결합 명사구,정보형,기술,high
ORCAS,,C#에서 오버로딩,,,naver,TRUE,조사 결합 명사구,정보형,기술,high
ORCAS,,C#의 웹 API,,,google,TRUE,조사 결합 명사구,정보형,기술,medium
ORCAS,,C#의 웹 API,,,naver,TRUE,조사 결합 명사구,정보형,기술,medium
ORCAS,,C++ 단위 테스트 프레임워크,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,C++ 단위 테스트 프레임워크,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,CAD 수업,,,google,TRUE,명사구,상업형,직업 교육,high
ORCAS,,CAD 수업,,,naver,TRUE,명사구,상업형,직업 교육,high
ORCAS,,CAD와 CAM,,,google,TRUE,조사 결합 명사구,정보형,기술,high
ORCAS,,CAD와 CAM,,,naver,TRUE,조사 결합 명사구,정보형,기술,high
ORCAS,,CAGR 계산 공식,,,google,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,CAGR 계산 공식,,,naver,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,CBD는 위험한가?,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,CBD는 위험한가?,,,naver,FALSE,의문문,정보형,건강,high
ORCAS,,CCT 조명,,,google,TRUE,명사구,상업형,쇼핑,medium
ORCAS,,CCT 조명,,,naver,FALSE,명사구,상업형,쇼핑,medium
ORCAS,,CD DVD 드라이브가 있는 노트북,,,google,TRUE,관형절 포함 명사구,상업형,기술,high
ORCAS,,CD DVD 드라이브가 있는 노트북,,,naver,TRUE,관형절 포함 명사구,상업형,기술,high
ORCAS,,CMD 튜토리얼,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,CMD 튜토리얼,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,CMP 혈액 검사란 무엇인가,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,CMP 혈액 검사란 무엇인가,,,naver,FALSE,의문문,정보형,건강,high
ORCAS,,CMake 연습,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,CMake 연습,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,CNY GBP,,,google,FALSE,명사구,거래형,비즈니스 금융,high
ORCAS,,CNY GBP,,,naver,FALSE,명사구,거래형,비즈니스 금융,high
ORCAS,,CPAP 기계 가격,,,google,FALSE,명사구,상업형,건강,high
ORCAS,,CPAP 기계 가격,,,naver,TRUE,명사구,상업형,건강,high
ORCAS,,CPAP 수면 무호흡증,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,CPAP 수면 무호흡증,,,naver,FALSE,명사구,정보형,건강,medium
ORCAS,,CPR 중 구조자가 언제 교대해야 하나,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,CPR 중 구조자가 언제 교대해야 하나,,,naver,TRUE,의문문,정보형,건강,high
ORCAS,,CPU 수냉식 쿨링,,,google,TRUE,명사구,상업형,기술,medium
ORCAS,,CPU 수냉식 쿨링,,,naver,TRUE,명사구,상업형,기술,medium
ORCAS,,CRT 파일,,,google,TRUE,명사구,정보형,기술,high
ORCAS,,CRT 파일,,,naver,TRUE,명사구,정보형,기술,high
ORCAS,,CSGO 스팀 키,,,google,TRUE,명사구,상업형,게임,high
ORCAS,,CSGO 스팀 키,,,naver,FALSE,명사구,상업형,게임,high
ORCAS,,C형 간염 항체 검사,,,google,TRUE,명사구,정보형,건강,medium
ORCAS,,C형 간염 항체 검사,,,naver,TRUE,명사구,정보형,건강,medium
ORCAS,,DC 코믹스 탈론,,,google,TRUE,명사구,정보형,엔터테인먼트,high
ORCAS,,DC 코믹스 탈론,,,naver,FALSE,명사구,정보형,엔터테인먼트,high
ORCAS,,DIC에서의 피브리노겐 수치,,,google,TRUE,조사 결합 명사구,정보형,건강,high
ORCAS,,DIC에서의 피브리노겐 수치,,,naver,FALSE,조사 결합 명사구,정보형,건강,high
ORCAS,,DIY 수영장,,,google,TRUE,명사구,정보형,취미 여가,medium
ORCAS,,DIY 수영장,,,naver,FALSE,명사구,정보형,취미 여가,medium
ORCAS,,DJ 리믹스 댄스 곡 다운로드,,,google,TRUE,명사구,거래형,엔터테인먼트,high
ORCAS,,DJ 리믹스 댄스 곡 다운로드,,,naver,FALSE,명사구,거래형,엔터테인먼트,high
ORCAS,,DNA 분자,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,DNA 분자,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,DNA 합성 단계,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,DNA 합성 단계,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,DTD 파일이란 무엇인가,,,google,TRUE,의문문,정보형,기술,high
ORCAS,,DTD 파일이란 무엇인가,,,naver,TRUE,의문문,정보형,기술,high
ORCAS,,E. coli,,,google,TRUE,명사구,정보형,과학,high
ORCAS,,E. coli,,,naver,TRUE,명사구,정보형,과학,high
ORCAS,,E. coli에 감염되는 방법,,,google,TRUE,관형절 포함 명사구,정보형,건강,high
ORCAS,,E. coli에 감염되는 방법,,,naver,FALSE,관형절 포함 명사구,정보형,건강,high
ORCAS,,ECG와 EKG의 차이란?,,,google,FALSE,조사 결합 명사구,정보형,건강,high
ORCAS,,ECG와 EKG의 차이란?,,,naver,TRUE,조사 결합 명사구,정보형,건강,high
ORCAS,,EMDR PDF,,,google,TRUE,명사구,거래형,건강,medium
ORCAS,,EMDR PDF,,,naver,TRUE,명사구,거래형,건강,medium
ORCAS,,EML 파일,,,google,TRUE,명사구,정보형,기술,medium
ORCAS,,EML 파일,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,ESR 검사는 무엇을 검사하나요,,,google,TRUE,의문문,정보형,건강,high
ORCAS,,ESR 검사는 무엇을 검사하나요,,,naver,FALSE,의문문,정보형,건강,high
ORCAS,,EUR USD 환율,,,google,FALSE,명사구,거래형,비즈니스 금융,high
ORCAS,,EUR USD 환율,,,naver,FALSE,명사구,거래형,비즈니스 금융,high
ORCAS,,Em 펜타토닉 스케일,,,google,TRUE,명사구,정보형,취미 여가,high
ORCAS,,Em 펜타토닉 스케일,,,naver,FALSE,명사구,정보형,취미 여가,high
ORCAS,,F-16 V,,,google,FALSE,명사구,정보형,기술,medium
ORCAS,,F-16 V,,,naver,TRUE,명사구,정보형,기술,medium
ORCAS,,F1 레이스 일정,,,google,TRUE,명사구,거래형,스포츠,high
ORCAS,,F1 레이스 일정,,,naver,FALSE,명사구,거래형,스포츠,high
ORCAS,,FCA 물류 용어,,,google,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,FCA 물류 용어,,,naver,TRUE,명사구,정보형,비즈니스 금융,high
ORCAS,,FCF 의미,,,google,TRUE,명사구,정보형,비즈니스 금융,medium
ORCAS,,FCF 의미,,,naver,TRUE,명사구,정보형,비즈니스 금융,medium
ORCAS,,G-CSF 주사,,,google,TRUE,명사구,정보형,건강,medium
